c1_range=np.arange(2,4,1)
c2_range=np.arange(2,4,1)
w_range=np.arange(1,2,0.5)
n_range=np.arange(100,201,50)
i_range=np.arange(100,201,25)



pso_options_c1,pso_options_c2,pso_options_w,pso_n_particles,pso_iter
2,2,1.0,100,100
2,2,1.0,100,125
2,2,1.0,100,150
2,2,1.0,100,175
2,2,1.0,100,200
2,2,1.0,150,100
2,2,1.0,150,125
2,2,1.0,150,150
2,2,1.0,150,175
2,2,1.0,150,200
2,2,1.0,200,100
2,2,1.0,200,125
2,2,1.0,200,150
2,2,1.0,200,175
2,2,1.0,200,200
2,2,1.5,100,100
2,2,1.5,100,125
2,2,1.5,100,150
2,2,1.5,100,175
2,2,1.5,100,200
2,2,1.5,150,100
2,2,1.5,150,125
2,2,1.5,150,150
2,2,1.5,150,175
2,2,1.5,150,200
2,2,1.5,200,100
2,2,1.5,200,125
2,2,1.5,200,150
2,2,1.5,200,175
2,2,1.5,200,200
2,3,1.0,100,100
2,3,1.0,100,125
2,3,1.0,100,150
2,3,1.0,100,175
2,3,1.0,100,200
2,3,1.0,150,100
2,3,1.0,150,125
2,3,1.0,150,150
2,3,1.0,150,175
2,3,1.0,150,200
2,3,1.0,200,100
2,3,1.0,200,125
2,3,1.0,200,150
2,3,1.0,200,175
2,3,1.0,200,200
2,3,1.5,100,100
2,3,1.5,100,125
2,3,1.5,100,150
2,3,1.5,100,175
2,3,1.5,100,200
2,3,1.5,150,100
2,3,1.5,150,125
2,3,1.5,150,150
2,3,1.5,150,175
2,3,1.5,150,200
2,3,1.5,200,100
2,3,1.5,200,125
2,3,1.5,200,150
2,3,1.5,200,175
2,3,1.5,200,200
3,2,1.0,100,100
3,2,1.0,100,125
3,2,1.0,100,150
3,2,1.0,100,175
3,2,1.0,100,200
3,2,1.0,150,100
3,2,1.0,150,125
3,2,1.0,150,150
3,2,1.0,150,175
3,2,1.0,150,200
3,2,1.0,200,100
3,2,1.0,200,125
3,2,1.0,200,150
3,2,1.0,200,175
3,2,1.0,200,200
3,2,1.5,100,100
3,2,1.5,100,125
3,2,1.5,100,150
3,2,1.5,100,175
3,2,1.5,100,200
3,2,1.5,150,100
3,2,1.5,150,125
3,2,1.5,150,150
3,2,1.5,150,175
3,2,1.5,150,200
3,2,1.5,200,100
3,2,1.5,200,125
3,2,1.5,200,150
3,2,1.5,200,175
3,2,1.5,200,200
3,3,1.0,100,100
3,3,1.0,100,125
3,3,1.0,100,150
3,3,1.0,100,175
3,3,1.0,100,200
3,3,1.0,150,100
3,3,1.0,150,125
3,3,1.0,150,150
3,3,1.0,150,175
3,3,1.0,150,200
3,3,1.0,200,100
3,3,1.0,200,125
3,3,1.0,200,150
3,3,1.0,200,175
3,3,1.0,200,200
3,3,1.5,100,100
3,3,1.5,100,125
3,3,1.5,100,150
3,3,1.5,100,175
3,3,1.5,100,200
3,3,1.5,150,100
3,3,1.5,150,125
3,3,1.5,150,150
3,3,1.5,150,175
3,3,1.5,150,200
3,3,1.5,200,100
3,3,1.5,200,125
3,3,1.5,200,150
3,3,1.5,200,175
3,3,1.5,200,200
