pso_options_c1,pso_options_c2,pso_options_w,pso_n_particles,pso_iter,origin_time,pso_time,origin_score,pso_score
0.0,0.0,0.4,20,50,6.151877299999999,10.284463900000002,0.5528441667556763,0.5528441667556763
0.0,0.0,0.4,20,75,4.505558499999999,9.763480199999997,0.5528441667556763,0.34751710295677185
0.0,0.0,0.4,70,50,4.312568599999999,9.718965599999997,0.5528441667556763,0.35638317465782166
0.0,0.0,0.4,70,75,4.153078099999988,9.678504900000007,0.5528441667556763,0.3340384364128113
0.0,0.0,0.4,120,50,4.1307575999999955,9.704702300000008,0.5528441667556763,0.43719571828842163
0.0,0.0,0.4,120,75,4.292435900000001,9.597831200000002,0.5528441667556763,0.3282504677772522
0.0,0.0,0.9,20,50,4.350156699999999,9.657912199999998,0.5528441667556763,0.3705022931098938
0.0,0.0,0.9,20,75,4.348347800000013,9.671409299999993,0.5528441667556763,0.4206659197807312
0.0,0.0,0.9,70,50,4.330339600000002,9.660098099999999,0.5528441667556763,0.3535175919532776
0.0,0.0,0.9,70,75,4.32327029999999,9.655513400000018,0.5528441667556763,0.34751710295677185
0.0,0.0,0.9,120,50,4.3512005999999985,9.639308,0.5528441667556763,0.38447704911231995
0.0,0.0,0.9,120,75,4.305686400000013,9.669658300000009,0.5528441667556763,0.31726279854774475
0.0,0.0,1.4,20,50,4.299885700000004,9.628732899999989,0.5528441667556763,0.38447704911231995
0.0,0.0,1.4,20,75,4.176575600000007,9.785564899999997,0.5528441667556763,0.4206659197807312
0.0,0.0,1.4,70,50,4.444912400000021,9.868450999999993,0.5528441667556763,0.32715508341789246
0.0,0.0,1.4,70,75,4.2427951000000235,9.841291799999993,0.5528441667556763,0.3567715585231781
0.0,0.0,1.4,120,50,4.160874899999982,9.820455399999986,0.5528441667556763,0.2789735794067383
0.0,0.0,1.4,120,75,4.168298800000002,9.735136399999988,0.5528441667556763,0.34751710295677185
0.0,0.0,1.9,20,50,4.221299199999976,9.791306700000007,0.5528441667556763,0.36302050948143005
0.0,0.0,1.9,20,75,4.204941099999985,9.774868000000026,0.5528441667556763,0.38197627663612366
0.0,0.0,1.9,70,50,4.202072100000009,9.821214600000019,0.5528441667556763,0.5528441667556763
0.0,0.0,1.9,70,75,4.245876100000032,9.725035300000002,0.5528441667556763,0.32715508341789246
0.0,0.0,1.9,120,50,4.157719199999974,9.82562310000003,0.5528441667556763,0.36302050948143005
0.0,0.0,1.9,120,75,4.1970551,9.729973400000006,0.5528441667556763,0.3326728641986847
0.0,0.8,0.4,20,50,4.426846000000012,9.915551599999958,0.5528441667556763,0.3567715585231781
0.0,0.8,0.4,20,75,4.746027099999992,10.112047699999948,0.5528441667556763,0.43719571828842163
0.0,0.8,0.4,70,50,4.79793810000001,10.234543499999972,0.5528441667556763,0.31860777735710144
0.0,0.8,0.4,70,75,4.609951999999964,9.860180799999966,0.5528441667556763,0.32715508341789246
0.0,0.8,0.4,120,50,4.3343165,9.663962900000001,0.5528441667556763,0.38197627663612366
0.0,0.8,0.4,120,75,4.500912099999994,9.785576699999979,0.5528441667556763,0.3705022931098938
0.0,0.8,0.9,20,50,4.8561906999999565,9.630666800000029,0.5528441667556763,0.32609525322914124
0.0,0.8,0.9,20,75,4.899530500000026,9.670324499999992,0.5528441667556763,0.3234420120716095
0.0,0.8,0.9,70,50,4.525922200000025,9.805733999999973,0.5528441667556763,0.3326728641986847
0.0,0.8,0.9,70,75,4.497762599999987,9.627982000000031,0.5528441667556763,0.38447704911231995
0.0,0.8,0.9,120,50,4.358943399999987,9.669591099999934,0.5528441667556763,0.32148295640945435
0.0,0.8,0.9,120,75,4.9807160000000295,10.517059099999983,0.5528441667556763,0.38197627663612366
0.0,0.8,1.4,20,50,4.452754899999945,9.716965500000015,0.5528441667556763,0.43719571828842163
0.0,0.8,1.4,20,75,4.01712950000001,9.667447400000015,0.5528441667556763,0.33232757449150085
0.0,0.8,1.4,70,50,4.275598100000025,9.705770400000006,0.5528441667556763,0.3340384364128113
0.0,0.8,1.4,70,75,4.468315399999938,9.589560000000006,0.5528441667556763,0.33867570757865906
0.0,0.8,1.4,120,50,4.238649099999975,9.552839800000015,0.5528441667556763,0.4206659197807312
0.0,0.8,1.4,120,75,4.287747999999965,9.57456280000008,0.5528441667556763,0.32148295640945435
0.0,0.8,1.9,20,50,4.2646623000000545,9.599991899999964,0.5528441667556763,0.35162118077278137
0.0,0.8,1.9,20,75,4.017779399999995,9.771466499999974,0.5528441667556763,0.36302050948143005
0.0,0.8,1.9,70,50,4.396340200000054,9.661928099999955,0.5528441667556763,0.5528441667556763
0.0,0.8,1.9,70,75,4.010742399999913,9.828270299999986,0.5528441667556763,0.3340384364128113
