test_num,c1,c2,w,n_particles,iters,runTime,avg_accuracy,avg_similarity_ratio,avg_best_score
10,1.6,1.6,0.9,100,50,15.193697660000002,0.0,1.0,0.4806725114583969
10,1.6,1.6,0.9,100,75,14.295558150000002,0.0,1.0,0.4817905604839325
10,1.6,1.6,0.9,100,100,14.9022808,0.0,1.0,0.49777906835079194
10,1.6,1.6,0.9,200,50,14.832577429999997,0.0,1.0,0.5019429564476013
10,1.6,1.6,0.9,200,75,16.091051660000005,0.0,1.0,0.5252511352300644
10,1.6,1.6,0.9,200,100,17.208357739999997,0.0,1.0,0.5396330684423447
10,1.6,1.6,1.5,100,50,13.480964620000009,0.0,1.0,0.47812362015247345
10,1.6,1.6,1.5,100,75,14.113713200000007,0.0,1.0,0.5283032059669495
10,1.6,1.6,1.5,100,100,14.730389170000013,0.0,1.0,0.5260767638683319
10,1.6,1.6,1.5,200,50,14.704649529999983,0.0,1.0,0.5068505674600601
10,1.6,1.6,1.5,200,75,15.962086609999982,0.0,1.0,0.5282776325941085
10,1.6,1.6,1.5,200,100,17.21808145,0.0,1.0,0.5512347549200058
10,1.6,2.0,0.9,100,50,13.471553829999994,0.0,1.0,0.49353246092796327
10,1.6,2.0,0.9,100,75,14.120915520000016,0.0,1.0,0.49101424813270567
10,1.6,2.0,0.9,100,100,14.731936540000016,0.0,1.0,0.48237148225307463
10,1.6,2.0,0.9,200,50,14.71780176999996,0.0,1.0,0.47592733502388
10,1.6,2.0,0.9,200,75,15.963842299999987,0.0,1.0,0.5491005510091782
10,1.6,2.0,0.9,200,100,17.18751446000001,0.0,1.0,0.5474976390600205
10,1.6,2.0,1.5,100,50,13.489559640000016,0.0,1.0,0.4875182658433914
10,1.6,2.0,1.5,100,75,14.189084349999984,0.0,1.0,0.456611430644989
10,1.6,2.0,1.5,100,100,14.778976069999999,0.0,1.0,0.5118841111660004
10,1.6,2.0,1.5,200,50,14.830286260000003,0.0,1.0,0.5129902541637421
10,1.6,2.0,1.5,200,75,15.941032810000024,0.0,1.0,0.5172700315713883
10,1.6,2.0,1.5,200,100,17.21213283000002,0.0,1.0,0.5455000966787338
10,2.0,1.6,0.9,100,50,13.549929190000011,0.0,1.0,0.5055058240890503
10,2.0,1.6,0.9,100,75,14.076999320000004,0.0,1.0,0.4916862279176712
10,2.0,1.6,0.9,100,100,14.743112269999983,0.0,1.0,0.5421344250440597
10,2.0,1.6,0.9,200,50,14.675800429999981,0.0,1.0,0.5300628900527954
10,2.0,1.6,0.9,200,75,15.92209842000002,0.0,1.0,0.5195318073034286
10,2.0,1.6,0.9,200,100,17.182000040000002,0.0,1.0,0.5009364783763885
10,2.0,1.6,1.5,100,50,13.457450169999992,0.0,1.0,0.5274210542440414
10,2.0,1.6,1.5,100,75,14.110677739999938,0.0,1.0,0.5342861860990524
10,2.0,1.6,1.5,100,100,14.77773086999996,0.0,1.0,0.5256557434797287
10,2.0,1.6,1.5,200,50,14.764556889999948,0.0,1.0,0.5281423032283783
10,2.0,1.6,1.5,200,75,15.938307350000013,0.0,1.0,0.5452830582857132
10,2.0,1.6,1.5,200,100,17.225734279999962,0.0,1.0,0.5479707747697831
10,2.0,2.0,0.9,100,50,13.483547180000006,0.0,1.0,0.47089989185333253
10,2.0,2.0,0.9,100,75,14.108955739999965,0.0,1.0,0.5073803216218948
10,2.0,2.0,0.9,100,100,14.826694489999955,0.0,1.0,0.5314907342195511
10,2.0,2.0,0.9,200,50,14.729930460000014,0.0,1.0,0.5040624856948852
10,2.0,2.0,0.9,200,75,15.98178015000003,0.0,1.0,0.5371317595243454
10,2.0,2.0,0.9,200,100,17.207228130000022,0.0,1.0,0.5326862752437591
10,2.0,2.0,1.5,100,50,13.513741200000004,0.0,1.0,0.4858694225549698
10,2.0,2.0,1.5,100,75,14.206571310000072,0.0,1.0,0.4846024036407471
10,2.0,2.0,1.5,100,100,14.814107590000003,0.0,1.0,0.49547127187252044
10,2.0,2.0,1.5,200,50,14.715591930000027,0.0,1.0,0.5437914520502091
10,2.0,2.0,1.5,200,75,16.00337182000003,0.0,1.0,0.5136441469192505
10,2.0,2.0,1.5,200,100,17.256528890000027,0.0,1.0,0.5479525595903396
